,10BT2_43,10NBT0_22,10NBT2_90,13BT2_71,13NBT0_112,13NBT2_101,20NBT0_73,20NBT2_123,21BT2_40,21NBT0_35,21NBT2_26,25NBT0_102,25NBT0_32,25NBT2_109,26BT2_127,26NBT0_81,26NBT2_49,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66NBT0_129,66NBT2_119,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74NBT0_64,74NBT2_42,protein
lcl|c226099_g2_i1|m.11211,5.4605,6.0946,6.3383,0,0,2.9907,5.8098,9.4643,11.5514,0,5.7451,6.0178,6.1766,0,5.6176,0,11.7887,6.4114,3.3816,3.3357,10.1967,5.9968,8.803,9.066,6.6004,9.4006,5.909,9.0738,0,15.7786,0,15.6387,10.1339,2.9756,lcl|c226099_g2_i1|m.11211
lcl|c226102_g6_i1|m.11215,0,0,0,12.8153,0,0,0,0,0,0,0,0,0,0,13.2036,0,0,0,0,0,15.9775,0,0,0,15.5136,14.7301,0,0,0,0,0,14.7029,0,0,lcl|c226102_g6_i1|m.11215
lcl|c226121_g5_i1|m.11230,0,2.2432,0,2.0068,0,0,4.2768,0,0,0,0,2.2149,2.2734,0,0,1.984,4.339,2.3598,0,0,2.502,0,0,2.2246,2.4294,0,0,0,0,0,0,0,0,2.1904,lcl|c226121_g5_i1|m.11230
lcl|c226127_g3_i4|m.11231,0,0,0,0,0,0,10.9762,0,0,0,0,11.369,5.8345,0,10.613,5.0917,5.5679,0,0,0,6.4213,0,11.0874,5.7093,0,0,5.5818,0,0,0,5.7179,0,0,0,lcl|c226127_g3_i4|m.11231
lcl|c226138_g1_i1|m.11235,5.8006,0,0,0,0,0,0,0,6.1354,6.5723,0,0,6.5612,0,0,5.7259,0,0,0,0,0,0,0,0,0,6.6574,0,0,0,6.7045,0,6.6451,0,0,lcl|c226138_g1_i1|m.11235
lcl|c207931_g1_i1|m.1711,0,0,14.6666,50.4665,0,0,0,0,0,0,13.2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5017,0,0,0,14.6044,0,0,0,0,lcl|c207931_g1_i1|m.1711
lcl|c226138_g2_i1|m.11236,25.2707,28.2051,43.9998,37.8499,14.4133,27.6812,13.4437,0,0,85.8983,26.5879,27.8496,0,0,12.9989,12.4728,27.2784,59.3429,0,15.4375,15.7298,13.8763,13.5799,13.9856,15.2731,14.5017,0,55.9904,26.5566,58.4176,98.0464,14.4749,15.6329,41.3129,lcl|c226138_g2_i1|m.11236
lcl|c226155_g2_i3|m.11249,0,0,0,2.7869,3.1838,6.1145,0,0,5.9043,3.1624,2.9365,0,3.157,0,0,0,0,9.8312,3.4568,3.41,3.4746,0,0,3.0893,0,12.8131,6.0406,6.1839,5.8661,0,0,3.1974,0,0,lcl|c226155_g2_i3|m.11249
lcl|c226189_g2_i2|m.11277,0,15.8194,0,0,0,15.5255,15.0803,0,0,16.0592,14.9123,0,0,0,0,0,0,66.5673,70.2188,0,0,15.5656,0,15.6882,0,16.2671,15.3378,47.105,0,0,0,0,0,46.3423,lcl|c226189_g2_i2|m.11277
lcl|c226194_g1_i2|m.11280,0,0,0,0,0,0,0,3.8994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8731,0,3.7385,0,0,0,0,0,3.678,lcl|c226194_g1_i2|m.11280
