"","PROTID","10BT2_43_ADJNSAF","10NBT0_22_ADJNSAF","10NBT2_90_ADJNSAF","13BT2_71_ADJNSAF","13NBT0_112_ADJNSAF","13NBT2_101_ADJNSAF","20NBT0_73_ADJNSAF","20NBT2_123_ADJNSAF","21BT2_40_ADJNSAF","21NBT0_35_ADJNSAF","21NBT2_26_ADJNSAF","25NBT0_102_ADJNSAF","25NBT2_32_ADJNSAF","26BT2_127_ADJNSAF","26NBT0_81_ADJNSAF","26NBT2_49_ADJNSAF","28NBT0_120_ADJNSAF","28NBT2_24_ADJNSAF","55BT2_96_ADJNSAF","55NBT0_19_ADJNSAF","55NBT2_79_ADJNSAF","5BT2_110_ADJNSAF","5NBT0_39_ADJNSAF","5NBT2_66_ADJNSAF","66BT2_17_ADJNSAF","66NBT0_129_ADJNSAF","66NBT2_119_ADJNSAF","73BT2_21_ADJNSAF","73NBT0_91_ADJNSAF","73NBT2_108_ADJNSAF","74BT2_88_ADJNSAF","74NBT0_64_ADJNSAF","74NBT2_42_ADJNSAF"
"65","lcl|c233502_g5_i1|m.18630",0,0,0,2.421,0,0,0,0,0,2.7454,0,0,0,0,0,0,0,0,0,3.0258,0,0,0,0,2.7834,0,0,0,0,2.6897,2.784,0,5.2805
"66","lcl|c233521_g3_i3|m.18674",0,0,0,3.6481,0,0,3.8702,0,3.8592,4.1369,3.8414,0,0,0,3.6115,0,0,4.516,4.4569,0,0,0,8.0891,0,4.1942,3.9481,0,0,4.2385,0,4.195,0,3.9784
"67","lcl|c233547_g3_i1|m.18698",77.8479,86.6614,37.9564,62.0538,35.4348,51.199,0,35.8545,147.7003,105.5505,130.6835,68.5429,105.3748,47.7763,107.5044,67.1267,72.9254,134.4277,37.9057,19.3889,34.082,33.3985,17.1992,93.5918,53.507,33.5776,51.7943,97.8938,108.1428,51.7051,107.0337,76.5725,84.5901
"68","lcl|c233547_g4_i3|m.18699",21.0317,23.4128,12.8181,36.6728,11.9665,17.2902,11.1158,6.0541,22.1685,35.6449,33.0993,5.7868,11.8619,21.5124,20.7456,22.669,30.7841,38.9116,12.8009,39.2864,23.0193,5.6394,17.4247,25.2851,66.2551,22.6787,17.4912,16.5296,18.2602,23.2814,48.1944,25.8589,22.8532
"69","lcl|c210398_g1_i3|m.2174",78.9815,68.8095,100.4584,82.1183,58.6153,67.7538,83.4879,90.9415,65.1526,81.4795,72.0578,79.3674,46.4822,35.1246,23.7108,33.3118,104.5472,105.889,58.5225,85.5272,45.1021,139.9592,83.4547,99.0831,208.49,33.326,83.7729,215.9114,75.5301,114.0392,114.1005,173.108,145.5239
"70","lcl|c233552_g1_i1|m.18704",44.7119,3.3183,21.8002,11.8802,0,0,9.4526,10.2965,3.1419,3.3679,0,0,0,6.0978,5.8805,12.8514,0,0,0,3.712,0,22.3795,3.2928,14.3345,6.8293,0,0,0,17.2533,0,0,14.6598,3.239
"71","lcl|c233577_g2_i4|m.18732",0,0,0,0,6.2283,0,5.7856,0,0,6.1841,0,6.0238,0,0,5.3988,0,6.409,6.7509,0,0,0,0,6.0461,0,0,0,6.0692,0,6.336,0,6.271,13.459,0
"72","lcl|c233581_g5_i1|m.18734",15.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4959,0,0,16.0049,0,0,0,0,16.5958
"73","lcl|c233582_g4_i5|m.18735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0517,0,0,0,5.8424,5.5669,0,0,0,0,5.3794,0,0,0
"74","lcl|c233583_g1_i1|m.18736",0,0,0,16.4166,0,6.02,0,0,0,0,0,0,0,0,0,0,25.7237,33.87,0,0,0,0,0,0,0,23.6883,0,0,31.7885,18.2385,0,0,0
"75","lcl|c233583_g1_i3|m.18737",22.1961,43.2407,67.6385,5.529,37.887,6.0825,117.3126,83.0609,11.6979,18.8092,40.7538,48.8575,25.0371,34.0551,49.2618,47.8481,0,0,20.2645,41.4614,24.2937,0,24.5192,53.37,50.8532,23.9342,43.0723,0,0,0,50.8626,20.4679,30.148
"76","lcl|c233588_g6_i3|m.18739",8.7156,0,10.6237,26.0525,9.9179,9.5534,9.2129,10.0354,27.56,0,9.1443,0,0,8.9148,8.597,0,10.2056,10.75,0,10.8536,9.5393,0,9.6278,10.4782,19.9682,9.3981,19.329,0,30.2682,0,19.9719,10.716,28.4112
"77","lcl|c233596_g1_i1|m.18749",32.8116,36.5263,19.9975,16.3466,28.0034,17.983,21.6773,14.1676,17.2926,23.1707,17.2128,13.542,18.5057,8.3904,24.2739,17.683,48.0263,20.2354,39.9416,35.753,13.4672,8.7981,27.1844,24.6546,14.0952,22.1131,27.288,34.3838,18.9918,13.6205,18.7971,30.2569,22.2833
